GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.miscellaneous.mapper,RegexrenameSqlProvider,572,33,59,3,114,9,38,2,7,2
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.miscellaneous.mapper,EnumtestSqlProvider,514,34,49,3,97,11,32,3,6,3
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.miscellaneous.mapper,MyObjectSqlProvider,293,573,55,55,57,135,45,19,2,7
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,MyObjectCriteria.Criteria,0,3,0,0,0,2,0,1,0,1
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,EnumtestCriteria,71,0,2,0,25,0,12,0,11,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,MyObjectCriteria,14,57,0,2,5,20,2,10,2,9
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,RegexrenameCriteria.Criterion,89,0,2,0,32,0,14,0,13,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,Regexrename,139,40,41,3,15,13,24,9,2,9
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,MyObject,370,61,106,0,30,25,58,18,5,18
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,EnumtestCriteria.Criteria,3,0,0,0,2,0,1,0,1,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,RegexrenameCriteria.GeneratedCriteria,544,0,10,0,132,0,69,0,64,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,EnumtestCriteria.Criterion,89,0,2,0,32,0,14,0,13,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,Enumtest,81,17,22,0,13,7,13,5,2,5
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,MyObjectCriteria.GeneratedCriteria,1500,181,30,10,351,43,180,20,162,18
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,RegexrenameCriteria,71,0,2,0,25,0,12,0,11,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,RegexrenameCriteria.Criteria,3,0,0,0,2,0,1,0,1,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,MyObjectCriteria.Criterion,15,74,0,2,6,26,2,12,2,11
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,MyObjectKey,81,17,22,0,13,7,13,5,2,5
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.mixed.miscellaneous.model,EnumtestCriteria.GeneratedCriteria,297,0,10,0,70,0,38,0,33,0
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.conditional.mapper,PkonlySqlProvider,254,272,27,23,31,71,20,13,1,7
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.conditional.mapper,PkblobsSqlProvider,300,373,41,31,42,97,32,15,1,10
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.conditional.mapper,FieldsonlySqlProvider,270,279,31,23,35,73,23,12,1,7
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.conditional.mapper,PkfieldsblobsSqlProvider,307,417,43,33,44,108,33,16,1,10
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.conditional.mapper,FieldsblobsSqlProvider,304,364,41,29,43,94,31,14,1,9
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.conditional.mapper,PkfieldsSqlProvider,319,586,62,60,59,144,49,21,1,8
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.annotated.conditional.mapper,AwfulTableSqlProvider,221,700,49,73,33,174,49,21,0,9
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.conditional.model,Fieldsonly,107,24,30,0,14,10,17,7,2,7
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.conditional.model,PkblobsExample.Criteria,0,3,0,0,0,2,0,1,0,1
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.conditional.model,PkfieldsExample.Criterion,3,86,0,2,1,31,1,13,1,12
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.conditional.model,PkonlyKey,81,17,22,0,13,7,13,5,2,5
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.conditional.model,PkfieldsExample,14,57,0,2,5,20,2,10,2,9
MyBatis Generator Tests (MyBatis3),mbg.test.mb3.generated.conditional.model,PkfieldsblobsExample.Criteria,0,3,0,0,0,2,0,1,0,1
